MW,LogP,TPSA,HBD,HBA,RotBonds,AroRings,HeavyAtoms,Heteroatoms
1373.6740000000011,-4.005799999999998,555.4699999999998,18,17,32,2,98,33
374.86800000000017,2.2984999999999998,61.8,2,4,2,1,26,6
686.7630000000004,-1.9360999999999902,269.51,10,10,19,2,49,16
414.9330000000003,3.0787000000000013,61.8,2,4,4,1,29,6
391.3420000000002,4.831400000000004,23.550000000000004,0,2,6,2,26,5
379.5290000000002,4.258900000000003,35.910000000000004,0,4,7,2,27,5
448.41900000000027,5.565700000000005,35.910000000000004,0,4,7,2,29,7
379.5290000000002,4.258900000000003,35.910000000000004,0,4,7,2,27,5
388.85100000000017,1.6216,78.87,2,5,2,1,27,7
645.8040000000003,1.1121000000000028,199.95,7,9,7,2,44,14
428.9160000000003,2.4018000000000006,78.87,2,5,4,1,30,7
379.5290000000002,4.258900000000003,35.910000000000004,0,4,7,2,27,5
1089.2169999999999,1.0245000000000077,374.64,12,12,30,5,79,23
1089.2169999999999,1.0245000000000077,374.64,12,12,30,5,79,23
1075.19,0.4635000000000116,374.64,12,12,30,5,78,23
1089.2169999999999,1.0245000000000077,374.64,12,12,30,5,79,23
1089.2169999999999,1.0245000000000077,374.64,12,12,30,5,79,23
509.6460000000004,5.208700000000006,62.160000000000004,2,5,6,3,38,5
343.42300000000023,1.3171999999999997,73.16,3,5,2,1,25,5
483.60800000000046,4.694900000000003,62.160000000000004,2,5,5,3,36,5
341.4070000000001,1.5253999999999999,70.0,2,5,2,1,25,5
533.6680000000003,5.848100000000008,62.160000000000004,2,5,5,4,40,5
533.6680000000003,5.848100000000008,62.160000000000004,2,5,5,4,40,5
483.60800000000046,4.694900000000004,62.160000000000004,2,5,5,3,36,5
519.6820000000004,3.9829000000000034,79.23,2,6,6,1,38,6
483.60800000000046,4.694900000000004,62.160000000000004,2,5,5,3,36,5
433.54800000000034,3.5417000000000014,62.160000000000004,2,5,5,2,32,5
433.54800000000034,3.5417000000000014,62.160000000000004,2,5,5,2,32,5
509.6460000000004,5.208700000000006,62.160000000000004,2,5,6,3,38,5
483.60800000000046,4.694900000000003,62.160000000000004,2,5,5,3,36,5
399.4430000000002,1.1475999999999997,85.30000000000001,1,7,4,1,29,7
441.52400000000034,2.0707,88.46,2,7,6,1,32,7
858.0009999999997,4.628900000000004,152.25,3,12,12,3,63,13
509.64300000000037,3.5660000000000025,77.46000000000001,1,7,8,1,37,7
414.50500000000034,3.5726000000000013,68.72,3,4,2,3,31,5
512.6060000000004,3.9750000000000023,84.02000000000001,2,6,6,3,38,7
301.342,0.7451999999999999,70.0,2,5,0,1,22,5
661.799,3.824100000000003,121.65,5,8,4,3,49,9
315.45700000000005,3.2215000000000025,43.7,2,3,3,1,23,3
335.403,2.7525000000000004,45.84,1,4,1,2,25,4
425.5690000000003,3.3876000000000017,62.16,2,5,4,1,31,5
539.6250000000005,2.4731000000000005,103.76,1,9,10,1,39,9
439.5080000000003,1.9277999999999997,85.30000000000001,1,7,6,1,32,7
285.343,1.1981,52.93000000000001,2,4,0,1,21,4
411.5420000000002,3.1636000000000015,62.160000000000004,2,5,4,1,30,5
523.6700000000004,3.7900000000000027,77.46000000000001,1,7,8,1,38,7
311.38100000000014,1.6950999999999998,49.77,1,4,1,1,23,4
441.52400000000034,1.7195999999999998,88.46000000000001,2,7,6,1,32,7
419.1600000000002,5.418700000000004,3.24,0,1,0,2,22,3
257.377,3.080400000000002,23.47,1,2,0,1,19,2
459.6370000000002,6.973800000000007,27.299999999999997,2,3,6,4,35,3
629.4399999999998,8.642900000000003,27.299999999999997,2,3,6,4,38,5
419.56900000000024,3.4228000000000023,28.18,0,5,2,2,31,5
1375.694000000001,-4.622499999999993,590.7699999999999,19,17,44,2,98,34
1375.694000000001,-4.622499999999993,590.7699999999999,19,17,44,2,98,34
485.72000000000037,4.033400000000004,16.200000000000003,0,5,4,2,36,5
377.44000000000017,3.7443000000000026,55.84,0,5,2,2,28,5
321.4200000000001,3.9109000000000025,21.700000000000003,0,3,2,2,24,3
445.65500000000026,3.2532000000000023,16.200000000000003,0,5,2,2,33,5
1375.6940000000009,-4.707999999999986,579.7699999999999,18,17,45,2,98,34
325.45500000000004,4.972400000000004,3.24,0,1,2,3,25,1
407.14900000000006,5.274600000000004,3.24,0,1,0,2,21,3
499.70200000000034,7.7540000000000076,27.299999999999997,2,3,8,4,38,3
281.35499999999996,3.160800000000002,43.7,2,3,0,2,21,3
431.58300000000014,7.236800000000006,27.299999999999997,2,3,4,4,33,3
405.4940000000002,4.380400000000004,55.84,0,5,4,2,30,5
471.64800000000025,8.017000000000007,27.299999999999997,2,3,6,4,36,3
321.4200000000001,3.9410000000000034,43.7,2,3,2,2,24,3
349.4740000000001,4.547000000000004,21.700000000000003,0,3,4,2,26,3
293.36600000000004,3.3049000000000017,43.7,2,3,0,2,22,3
470.53000000000026,-1.3996999999999957,188.67000000000002,7,7,11,2,34,11
656.7440000000001,-0.19089999999999208,233.56,9,8,14,4,48,14
909.0139999999999,-1.618199999999998,325.29999999999995,12,12,22,4,66,20
656.744,-0.19089999999999385,233.56,9,8,14,4,48,14
583.6900000000004,-0.724699999999991,217.76999999999998,8,8,15,2,42,13
583.6900000000004,-0.724699999999991,217.76999999999998,8,8,15,2,42,13
633.7060000000001,-0.9665999999999928,238.0,9,9,14,3,46,14
617.7070000000001,-0.672199999999993,217.77,8,8,14,3,45,13
617.7070000000001,-0.672199999999993,217.77,8,8,14,3,45,13
343.42300000000023,1.3171999999999997,73.16,3,5,2,1,25,5
490.6250000000004,4.276000000000003,74.52,2,7,6,2,35,7
504.6520000000004,4.1445000000000025,74.52,2,7,7,2,36,7
504.65200000000044,4.1445000000000025,74.52,2,7,7,2,36,7
406.35700000000026,4.413600000000002,49.57000000000001,1,3,6,2,27,6
504.65200000000044,4.1445000000000025,74.52,2,7,7,2,36,7
490.62500000000045,4.276000000000003,74.52,2,7,6,2,35,7
490.6250000000004,4.276000000000003,74.52,2,7,6,2,35,7
421.58500000000026,3.8767000000000023,44.81,1,4,6,2,31,5
